Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,MonthlyIncome,DistanceFromHome,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,NumCompaniesWorked,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,StockOptionLevel,TrainingTimesLastYear,PercentSalaryHike,Attrition
55,Female,Married,Research & Development,Research Scientist,Human Resources,4,5427,10,4,0,37,5,Travel_Frequently,3,2,2,3,No,1,3,11,Yes
51,Male,Married,Research & Development,Laboratory Technician,Technical Degree,3,3309,3,3,3,29,1,Travel_Rarely,4,3,3,3,Yes,0,3,17,No
26,Female,Married,Research & Development,Manufacturing Director,Human Resources,4,10463,1,0,0,5,6,Travel_Frequently,4,1,4,4,No,1,1,16,Yes
46,Female,Married,Research & Development,Manufacturing Director,Marketing,4,8493,5,0,0,24,2,Non-Travel,2,4,2,3,Yes,1,5,11,No
19,Male,Single,Research & Development,Laboratory Technician,Medical,3,3143,5,1,1,1,3,Travel_Rarely,1,4,2,4,No,1,5,11,No
41,Male,Single,Research & Development,Research Scientist,Other,4,3822,2,10,1,16,2,Travel_Frequently,1,1,2,3,Yes,1,4,19,Yes
24,Female,Single,Research & Development,Laboratory Technician,Life Sciences,4,3416,29,2,2,2,1,Travel_Rarely,3,3,2,3,No,3,2,18,Yes
53,Male,Single,Research & Development,Research Scientist,Marketing,2,4004,2,5,2,31,3,Travel_Rarely,3,1,2,3,Yes,1,2,19,No
21,Male,Married,Research & Development,Laboratory Technician,Marketing,3,1812,2,0,0,0,2,Non-Travel,4,3,3,3,Yes,2,4,15,No
48,Female,Married,Research & Development,Research Director,Technical Degree,4,16070,29,1,1,29,1,Travel_Rarely,4,2,3,4,Yes,1,6,11,No
48,Female,Married,Sales,Manager,Life Sciences,4,15541,8,1,0,27,1,Travel_Frequently,3,4,3,4,No,1,6,18,No
44,Female,Married,Sales,Sales Representative,Life Sciences,4,3337,2,0,0,21,3,Travel_Rarely,4,4,3,4,No,1,1,13,Yes
32,Male,Single,Research & Development,Research Director,Marketing,4,16076,27,1,1,12,6,Travel_Frequently,4,3,3,3,No,0,1,23,No
37,Female,Single,Sales,Manager,Medical,5,13729,17,4,1,14,4,Travel_Rarely,4,4,3,4,No,1,5,13,No
41,Male,Single,Research & Development,Research Scientist,Life Sciences,3,5886,1,6,2,15,2,Travel_Rarely,4,2,3,4,Yes,2,1,17,Yes
31,Female,Married,Research & Development,Research Scientist,Life Sciences,1,5225,3,2,2,15,3,Travel_Frequently,3,3,2,3,No,0,1,11,No
36,Female,Married,Research & Development,Laboratory Technician,Other,3,3176,2,0,0,12,4,Travel_Frequently,4,4,3,3,No,0,0,12,No
51,Male,Married,Research & Development,Laboratory Technician,Other,2,3557,2,5,0,34,3,Non-Travel,3,3,3,3,No,2,1,11,No
26,Female,Divorced,Research & Development,Laboratory Technician,Life Sciences,3,4630,1,0,0,4,2,Travel_Rarely,2,1,2,3,No,0,1,14,No
41,Male,Married,Research & Development,Laboratory Technician,Other,3,3752,6,3,3,23,2,Non-Travel,2,1,3,3,No,0,3,21,No
38,Male,Single,Research & Development,Research Scientist,Human Resources,2,5888,14,3,1,19,2,Travel_Frequently,3,3,3,3,No,2,4,18,No
32,Female,Single,Sales,Sales Representative,Other,3,3695,15,0,0,8,3,Travel_Rarely,2,3,3,3,No,1,2,14,No
19,Male,Married,Sales,Sales Executive,Technical Degree,2,7211,9,2,2,2,5,Non-Travel,4,1,2,3,No,0,1,11,No
38,Female,Married,Research & Development,Laboratory Technician,Technical Degree,3,3630,5,4,0,18,1,Travel_Frequently,4,1,2,3,Yes,0,4,15,No
39,Male,Married,Research & Development,Research Scientist,Medical,3,3593,4,5,1,15,3,Travel_Rarely,1,3,3,4,No,2,4,13,No
29,Male,Single,Research & Development,Manufacturing Director,Medical,2,10442,3,5,0,12,8,Travel_Rarely,3,2,3,3,No,1,5,15,No
32,Male,Single,Sales,Sales Representative,Technical Degree,3,3512,2,5,3,5,2,Travel_Rarely,3,2,3,3,Yes,1,4,16,No
59,Female,Married,Research & Development,Laboratory Technician,Medical,3,6021,1,13,1,39,2,Travel_Frequently,3,3,2,3,No,1,3,19,No
39,Male,Single,Research & Development,Laboratory Technician,Medical,3,3870,7,7,7,23,1,Travel_Rarely,3,2,2,3,No,0,2,13,Yes
24,Male,Married,Research & Development,Manufacturing Director,Other,3,8833,2,5,5,5,4,Travel_Rarely,4,1,3,3,No,0,5,13,No
44,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,3,2605,16,0,0,25,2,Travel_Frequently,3,2,3,3,No,1,6,18,No
33,Female,Married,Research & Development,Laboratory Technician,Marketing,2,3288,1,2,2,10,3,Travel_Frequently,3,3,3,3,No,0,1,16,No
31,Female,Single,Research & Development,Research Director,Marketing,3,15086,1,1,0,13,4,Travel_Rarely,1,4,2,3,No,1,2,11,No
24,Male,Married,Research & Development,Laboratory Technician,Other,4,2848,14,2,0,2,1,Travel_Rarely,3,3,2,3,No,2,2,14,No
25,Male,Single,Sales,Sales Executive,Marketing,4,5727,3,0,0,0,5,Travel_Rarely,4,1,3,3,No,1,3,11,No
44,Female,Single,Research & Development,Research Scientist,Medical,3,3767,1,3,3,26,5,Travel_Frequently,1,3,2,3,No,1,3,11,Yes
36,Female,Married,Sales,Manager,Technical Degree,4,12882,6,0,0,15,2,Travel_Rarely,4,3,3,3,No,1,3,11,No
42,Male,Married,Research & Development,Laboratory Technician,Human Resources,4,3069,29,7,0,24,1,Travel_Frequently,3,1,3,3,No,1,2,15,No
46,Male,Married,Research & Development,Research Director,Medical,1,17867,29,8,5,21,4,Travel_Frequently,4,4,1,3,No,1,4,18,No
24,Female,Single,Sales,Sales Representative,Life Sciences,3,3563,7,0,0,0,3,Travel_Rarely,4,1,3,3,No,0,2,18,Yes
48,Male,Single,Sales,Sales Executive,Marketing,3,7425,1,2,0,29,2,Travel_Rarely,4,4,3,4,Yes,1,4,18,No
46,Female,Single,Sales,Manager,Human Resources,3,14216,12,7,2,24,0,Travel_Frequently,4,4,1,3,Yes,0,3,18,No
39,Male,Married,Research & Development,Laboratory Technician,Medical,1,2486,1,2,2,12,1,Travel_Rarely,3,1,3,3,No,1,3,17,No
22,Male,Single,Sales,Sales Executive,Other,2,6624,2,4,2,4,3,Travel_Rarely,3,1,3,3,Yes,3,5,15,Yes
49,Male,Divorced,Research & Development,Research Director,Technical Degree,4,15292,6,12,6,23,5,Non-Travel,3,4,3,3,Yes,1,4,15,No
46,Male,Divorced,Research & Development,Research Scientist,Other,3,5285,5,9,1,20,4,Travel_Rarely,1,4,3,3,No,1,2,16,No
36,Female,Divorced,Research & Development,Research Director,Human Resources,2,15440,8,7,6,18,1,Travel_Rarely,4,4,3,3,No,1,4,24,No
31,Female,Married,Research & Development,Laboratory Technician,Other,3,3619,1,8,4,14,2,Travel_Rarely,1,2,1,3,Yes,1,2,18,Yes
26,Female,Divorced,Research & Development,Research Scientist,Marketing,4,4686,16,0,0,7,2,Travel_Rarely,1,3,3,3,Yes,0,0,16,No
28,Female,Single,Human Resources,Manager,Other,2,14714,16,0,0,10,1,Travel_Rarely,2,4,2,3,No,1,1,13,No
57,Male,Divorced,Sales,Manager,Technical Degree,3,14645,6,8,2,35,0,Travel_Frequently,1,4,1,3,Yes,2,2,11,No
27,Male,Single,Research & Development,Research Scientist,Other,3,3687,3,1,0,8,3,Travel_Frequently,1,1,3,4,Yes,1,4,23,Yes
38,Male,Married,Research & Development,Research Director,Other,3,16239,12,1,1,15,4,Non-Travel,3,1,3,4,Yes,0,5,14,Yes
38,Female,Single,Research & Development,Manufacturing Director,Medical,3,9214,3,0,0,15,3,Travel_Rarely,3,3,3,4,No,1,1,13,No
43,Male,Single,Research & Development,Laboratory Technician,Life Sciences,2,6026,4,14,4,21,3,Travel_Rarely,4,3,2,3,No,1,2,12,No
48,Female,Married,Research & Development,Research Director,Human Resources,2,16307,3,6,0,22,4,Non-Travel,2,4,3,3,No,1,3,11,No
35,Male,Married,Research & Development,Manufacturing Director,Human Resources,2,9350,4,2,1,12,3,Travel_Rarely,1,1,4,3,No,1,2,18,No
35,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,3,5005,6,5,5,12,2,Travel_Rarely,4,2,3,3,No,1,4,20,Yes
18,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,4,8579,2,0,0,0,3,Travel_Rarely,3,4,3,3,No,1,4,15,No
57,Female,Single,Sales,Sales Executive,Marketing,3,8677,5,12,2,36,5,Travel_Rarely,4,2,4,3,Yes,0,2,16,No
43,Male,Married,Research & Development,Laboratory Technician,Marketing,1,3348,4,5,3,28,0,Travel_Rarely,4,3,2,3,Yes,1,3,17,No
34,Male,Single,Sales,Manager,Human Resources,5,14504,8,1,1,14,4,Travel_Frequently,3,3,3,3,Yes,0,2,15,No
34,Male,Married,Research & Development,Manufacturing Director,Medical,1,10170,3,5,5,15,4,Travel_Frequently,4,1,3,4,No,2,5,18,No
45,Female,Married,Research & Development,Manufacturing Director,Other,4,9914,24,1,1,27,2,Travel_Rarely,2,4,3,3,No,1,0,13,No
49,Male,Divorced,Research & Development,Laboratory Technician,Human Resources,3,3945,1,16,0,27,2,Travel_Rarely,3,3,2,3,No,2,2,13,No
34,Male,Married,Research & Development,Research Scientist,Human Resources,3,3891,6,3,3,10,4,Travel_Rarely,4,1,1,3,No,0,1,18,No
39,Female,Married,Sales,Manager,Marketing,3,14931,16,2,0,19,4,Travel_Rarely,1,3,3,4,Yes,1,4,19,No
26,Female,Married,Research & Development,Manufacturing Director,Marketing,3,10272,3,5,5,5,3,Travel_Rarely,4,4,3,3,Yes,0,5,11,No
22,Male,Divorced,Research & Development,Research Scientist,Marketing,4,4566,29,0,0,5,4,Travel_Rarely,4,1,2,3,Yes,2,6,11,Yes
28,Male,Married,Sales,Manager,Medical,1,13642,5,8,1,8,2,Travel_Rarely,1,3,3,3,Yes,0,1,25,Yes
34,Female,Married,Sales,Manager,Technical Degree,4,14196,3,3,3,16,3,Travel_Frequently,4,2,4,3,No,0,4,11,No
35,Female,Married,Research & Development,Laboratory Technician,Human Resources,2,3790,5,1,1,16,1,Travel_Rarely,2,2,3,3,Yes,2,0,18,No
32,Male,Married,Research & Development,Research Scientist,Other,2,3645,1,0,0,18,2,Non-Travel,3,4,1,3,No,1,6,18,No
50,Female,Single,Human Resources,Manager,Marketing,4,14968,6,1,1,23,3,Travel_Frequently,3,1,3,3,No,0,3,13,No
32,Female,Married,Sales,Sales Executive,Life Sciences,4,7117,6,4,1,10,1,Travel_Rarely,1,4,3,3,Yes,1,4,11,No
18,Male,Divorced,Human Resources,Manager,Medical,3,13863,1,0,0,0,4,Travel_Frequently,1,3,1,3,No,0,3,12,No
45,Male,Single,Research & Development,Research Scientist,Technical Degree,5,5121,3,1,1,27,2,Travel_Rarely,3,4,2,3,Yes,3,1,20,No
38,Male,Married,Research & Development,Research Director,Other,3,18092,7,14,2,14,1,Travel_Frequently,2,1,3,3,No,0,0,19,No
45,Male,Single,Research & Development,Research Scientist,Marketing,3,3542,4,1,1,25,3,Travel_Rarely,2,3,4,3,No,0,3,16,No
39,Male,Married,Research & Development,Research Director,Marketing,2,15949,29,6,0,18,1,Travel_Rarely,4,4,1,3,Yes,0,1,21,Yes
45,Female,Married,Research & Development,Laboratory Technician,Other,2,3464,5,1,1,24,3,Travel_Rarely,2,4,4,4,Yes,1,5,11,No
33,Male,Married,Research & Development,Research Director,Technical Degree,3,16321,1,1,0,11,1,Travel_Rarely,4,1,3,3,No,1,4,14,No
40,Female,Single,Sales,Sales Executive,Other,4,7830,13,16,6,19,1,Travel_Rarely,3,2,3,3,No,2,3,11,No
51,Female,Married,Sales,Manager,Other,2,14400,12,0,0,28,2,Travel_Rarely,1,2,3,3,Yes,0,2,15,No
49,Male,Married,Research & Development,Laboratory Technician,Human Resources,3,5838,1,4,0,28,2,Travel_Rarely,4,2,3,4,Yes,1,1,18,No
40,Female,Married,Research & Development,Research Director,Life Sciences,4,16706,5,3,1,20,2,Travel_Frequently,4,3,2,3,No,2,1,14,No
37,Male,Married,Research & Development,Research Scientist,Human Resources,2,4858,29,1,1,10,1,Travel_Rarely,3,4,3,3,Yes,0,2,17,No
49,Female,Divorced,Sales,Sales Executive,Human Resources,2,7237,5,1,1,29,3,Travel_Rarely,2,3,3,3,No,1,4,11,No
39,Male,Single,Research & Development,Manufacturing Director,Medical,3,9689,9,3,2,19,3,Travel_Rarely,4,3,2,3,No,0,6,14,No
40,Male,Married,Research & Development,Research Director,Marketing,4,14921,3,4,3,14,2,Travel_Rarely,4,4,4,3,No,2,2,23,No
26,Female,Married,Research & Development,Research Scientist,Marketing,3,5389,3,2,0,5,1,Travel_Frequently,3,3,3,3,No,1,2,16,No
23,Female,Divorced,Research & Development,Research Director,Technical Degree,4,15259,8,2,2,2,4,Travel_Frequently,3,1,3,4,Yes,1,3,15,Yes
36,Female,Married,Research & Development,Research Scientist,Other,4,7091,14,15,6,15,3,Travel_Rarely,1,3,3,3,Yes,2,4,17,No
39,Male,Divorced,Sales,Manager,Human Resources,3,15575,1,18,5,18,3,Non-Travel,2,2,3,3,Yes,0,4,18,No
27,Male,Married,Sales,Manager,Medical,5,13478,2,2,2,4,1,Travel_Rarely,2,3,3,3,No,1,2,16,No
28,Male,Single,Sales,Sales Executive,Technical Degree,3,8190,3,9,5,9,5,Travel_Rarely,3,4,3,3,No,0,3,13,No
25,Male,Divorced,Research & Development,Manufacturing Director,Marketing,4,10681,21,1,0,4,1,Travel_Frequently,2,4,4,3,Yes,0,2,11,No
59,Male,Married,Sales,Sales Executive,Life Sciences,3,6950,7,5,4,40,2,Non-Travel,3,4,1,3,Yes,0,4,11,No
49,Female,Single,Sales,Sales Executive,Life Sciences,2,8521,8,0,0,32,6,Travel_Rarely,3,4,4,3,No,1,2,14,No
43,Male,Single,Research & Development,Research Scientist,Other,4,2379,1,0,0,22,2,Travel_Rarely,1,3,3,3,Yes,0,4,12,Yes
54,Male,Married,Research & Development,Manufacturing Director,Life Sciences,3,10237,1,16,1,33,1,Travel_Rarely,4,2,3,3,No,0,0,15,No
28,Male,Divorced,Sales,Manager,Life Sciences,4,14529,18,3,3,12,5,Travel_Rarely,3,4,2,3,No,1,2,11,No
46,Male,Single,Research & Development,Laboratory Technician,Human Resources,4,2971,14,5,0,22,5,Travel_Frequently,4,4,3,3,No,1,0,14,Yes
33,Male,Married,Sales,Sales Executive,Other,3,8752,2,13,4,17,2,Travel_Rarely,1,3,2,3,No,2,2,20,No
45,Female,Married,Sales,Sales Executive,Human Resources,1,6946,6,6,2,20,3,Travel_Rarely,3,4,1,3,No,0,2,12,No
27,Female,Married,Human Resources,Human Resources,Technical Degree,3,2903,1,0,0,0,2,Travel_Rarely,4,1,3,4,Yes,0,1,11,Yes
28,Female,Married,Research & Development,Laboratory Technician,Human Resources,4,3723,10,4,1,7,2,Travel_Frequently,2,4,3,3,No,1,2,13,No
30,Female,Single,Sales,Sales Representative,Life Sciences,3,2302,7,3,1,11,1,Travel_Frequently,3,3,4,3,Yes,1,4,13,No
36,Male,Single,Research & Development,Manufacturing Director,Medical,4,9774,16,11,3,14,3,Travel_Rarely,2,3,1,3,No,1,2,14,No
36,Male,Divorced,Research & Development,Research Director,Medical,2,17309,1,6,6,12,5,Travel_Rarely,2,4,3,3,No,0,1,16,No
31,Female,Divorced,Human Resources,Manager,Marketing,2,14663,2,9,0,12,1,Non-Travel,3,3,2,3,No,0,2,16,No
34,Female,Married,Research & Development,Manufacturing Director,Life Sciences,3,10553,4,4,3,7,0,Travel_Rarely,2,1,2,3,No,0,2,19,No
48,Female,Married,Sales,Manager,Medical,3,15315,15,2,2,29,3,Travel_Rarely,4,1,4,3,No,0,1,14,No
49,Male,Single,Research & Development,Laboratory Technician,Human Resources,5,4536,8,9,2,21,1,Travel_Rarely,3,4,2,3,No,0,6,11,No
38,Male,Single,Research & Development,Manufacturing Director,Human Resources,3,10907,10,15,1,17,4,Travel_Rarely,4,1,3,3,Yes,0,6,14,No
36,Male,Divorced,Sales,Manager,Life Sciences,3,15227,29,2,1,15,4,Travel_Rarely,4,3,2,3,Yes,1,2,17,No
46,Male,Single,Research & Development,Manufacturing Director,Medical,1,9830,26,8,3,21,3,Non-Travel,2,4,3,3,No,1,3,11,No
33,Female,Married,Research & Development,Research Scientist,Marketing,3,5518,3,11,3,11,2,Travel_Rarely,2,3,3,3,No,0,1,11,No
46,Female,Married,Sales,Manager,Life Sciences,1,16326,8,18,0,25,3,Travel_Rarely,1,3,2,3,Yes,0,4,16,Yes
34,Female,Married,Research & Development,Laboratory Technician,Human Resources,3,1000,16,0,0,12,3,Travel_Rarely,3,4,3,3,No,0,4,16,No
38,Female,Married,Research & Development,Research Scientist,Technical Degree,4,4619,3,0,0,15,2,Travel_Rarely,4,2,2,3,Yes,2,6,18,No
34,Male,Married,Research & Development,Laboratory Technician,Human Resources,4,3608,1,5,4,9,3,Travel_Rarely,1,2,2,3,Yes,0,4,12,No
30,Male,Single,Research & Development,Research Director,Medical,4,15509,19,6,0,9,3,Travel_Rarely,1,1,3,3,No,3,3,11,Yes
47,Male,Married,Research & Development,Manufacturing Director,Life Sciences,1,8935,6,0,0,23,3,Travel_Rarely,1,1,3,3,No,1,2,19,No
37,Female,Married,Research & Development,Manufacturing Director,Technical Degree,2,9576,1,5,5,14,2,Travel_Rarely,1,3,3,3,No,3,2,20,No
42,Male,Single,Research & Development,Manufacturing Director,Marketing,2,8688,8,5,0,21,1,Travel_Rarely,4,3,2,3,No,1,3,13,No
59,Female,Single,Sales,Sales Representative,Medical,3,2833,1,5,2,35,3,Non-Travel,4,3,3,3,No,0,4,14,No
30,Female,Single,Research & Development,Laboratory Technician,Life Sciences,4,2915,10,1,0,9,2,Travel_Rarely,3,4,4,3,Yes,2,6,16,Yes
30,Male,Married,Research & Development,Research Director,Medical,1,15517,19,5,4,10,1,Travel_Rarely,4,1,2,3,Yes,0,5,15,No
29,Female,Divorced,Research & Development,Research Director,Marketing,4,16547,3,6,0,6,3,Travel_Rarely,1,2,3,3,No,0,4,15,No
18,Male,Single,Research & Development,Manufacturing Director,Marketing,1,9660,1,0,0,0,4,Travel_Rarely,4,3,2,4,Yes,0,4,16,Yes
34,Female,Divorced,Research & Development,Research Scientist,Marketing,4,4767,21,7,3,7,4,Travel_Rarely,4,1,4,3,No,0,3,11,No
34,Male,Single,Research & Development,Research Director,Human Resources,3,15142,1,3,1,10,4,Travel_Frequently,4,4,3,3,Yes,0,5,14,No
30,Male,Single,Sales,Manager,Life Sciences,4,14540,10,7,1,10,1,Travel_Rarely,4,2,3,4,Yes,0,3,20,No
42,Male,Married,Research & Development,Laboratory Technician,Medical,5,3926,4,21,5,21,2,Non-Travel,3,2,3,3,No,0,2,11,No
39,Female,Married,Research & Development,Laboratory Technician,Other,5,3301,9,2,0,23,2,Travel_Rarely,1,4,2,3,No,0,3,20,No
28,Female,Married,Research & Development,Research Director,Medical,4,15982,7,7,4,7,2,Non-Travel,2,3,1,3,No,3,1,11,No
37,Female,Married,Sales,Manager,Marketing,4,13481,5,1,0,19,5,Travel_Rarely,2,3,3,3,No,2,1,12,No
24,Female,Married,Research & Development,Manufacturing Director,Medical,3,8784,1,2,0,2,2,Travel_Rarely,2,2,2,3,No,0,1,17,No
53,Female,Single,Research & Development,Research Scientist,Medical,2,3177,4,4,0,36,2,Travel_Rarely,4,2,4,3,No,2,0,14,No
29,Male,Married,Research & Development,Laboratory Technician,Life Sciences,2,5462,14,8,5,8,3,Travel_Rarely,4,3,3,3,No,0,0,18,No
33,Female,Single,Research & Development,Research Director,Life Sciences,3,15391,1,8,1,19,4,Travel_Rarely,4,3,3,3,No,0,1,17,No
47,Male,Married,Research & Development,Manufacturing Director,Marketing,3,9248,15,0,0,29,1,Travel_Frequently,3,3,3,4,No,2,2,11,No
38,Female,Divorced,Research & Development,Research Scientist,Human Resources,4,5917,9,3,3,11,4,Travel_Rarely,1,2,3,3,No,0,6,19,No
59,Female,Divorced,Research & Development,Research Scientist,Medical,4,4576,2,3,0,40,5,Travel_Rarely,1,3,3,4,Yes,1,2,12,No
30,Male,Divorced,Sales,Sales Executive,Other,2,8004,2,8,1,8,4,Travel_Rarely,4,3,4,3,Yes,0,4,18,No
24,Female,Married,Research & Development,Laboratory Technician,Marketing,2,3325,9,0,0,0,1,Travel_Rarely,1,1,3,3,Yes,0,2,18,Yes
30,Female,Divorced,Research & Development,Research Scientist,Other,2,4938,6,8,1,9,4,Travel_Rarely,2,4,3,3,No,0,3,14,No
36,Female,Married,Sales,Manager,Human Resources,4,13312,29,0,0,10,3,Travel_Frequently,1,3,3,3,Yes,0,5,11,No
49,Female,Married,Sales,Sales Representative,Human Resources,3,4837,12,11,4,30,3,Travel_Rarely,1,2,2,4,Yes,0,2,21,Yes
22,Female,Single,Research & Development,Research Director,Marketing,5,16422,3,3,1,4,4,Travel_Rarely,4,3,3,4,No,0,0,15,No
32,Male,Married,Sales,Manager,Human Resources,3,13661,14,1,0,13,3,Travel_Rarely,2,4,3,4,No,0,4,16,No
31,Male,Single,Sales,Sales Executive,Marketing,4,7379,4,4,1,9,4,Travel_Frequently,4,3,3,3,No,0,2,18,No
31,Male,Single,Sales,Manager,Other,3,16292,16,2,2,9,1,Travel_Frequently,4,1,2,4,No,0,3,22,No
33,Female,Single,Research & Development,Research Director,Human Resources,1,14554,2,5,1,12,2,Travel_Rarely,3,4,3,3,No,0,2,15,Yes
47,Male,Married,Research & Development,Research Director,Medical,4,17183,8,12,2,26,2,Travel_Rarely,3,4,2,4,No,0,4,22,No
28,Male,Single,Sales,Sales Executive,Medical,3,7441,5,4,3,11,2,Travel_Frequently,2,3,1,3,No,0,4,15,Yes
47,Male,Single,Sales,Sales Executive,Other,2,7426,2,8,3,21,0,Travel_Rarely,1,4,3,3,No,0,3,15,No
31,Male,Married,Human Resources,Human Resources,Marketing,4,3817,9,3,3,8,4,Travel_Frequently,1,4,3,3,No,0,5,18,No
36,Male,Single,Sales,Sales Executive,Marketing,2,7221,4,5,1,13,3,Travel_Rarely,4,2,3,3,No,0,3,13,No
60,Male,Married,Research & Development,Research Director,Human Resources,4,16712,16,2,2,37,3,Travel_Rarely,2,3,3,4,Yes,0,1,12,No
43,Male,Married,Human Resources,Manager,Marketing,4,15498,2,3,0,23,4,Travel_Rarely,3,4,3,3,No,0,3,19,No
45,Male,Single,Sales,Manager,Human Resources,4,13808,1,0,0,18,4,Travel_Rarely,3,2,2,4,No,1,0,11,No
46,Female,Divorced,Research & Development,Manufacturing Director,Life Sciences,3,10511,1,11,0,27,0,Travel_Rarely,4,2,3,3,Yes,0,5,11,No
29,Male,Married,Human Resources,Manager,Medical,3,14809,3,7,5,11,0,Travel_Rarely,4,2,3,3,No,0,3,16,No
30,Female,Single,Sales,Manager,Medical,3,14839,18,5,4,7,2,Travel_Frequently,2,2,3,3,Yes,2,2,17,No
36,Male,Single,Sales,Manager,Medical,1,14740,1,3,1,12,3,Travel_Rarely,1,1,3,3,Yes,0,0,15,No
41,Female,Divorced,Research & Development,Research Scientist,Marketing,3,5072,29,9,0,17,5,Travel_Rarely,4,4,4,3,No,1,1,16,No
44,Female,Single,Research & Development,Research Scientist,Marketing,1,4344,4,5,0,19,0,Travel_Frequently,2,4,4,3,Yes,1,4,21,Yes
31,Male,Married,Sales,Manager,Marketing,3,14296,4,1,1,7,2,Non-Travel,1,3,4,3,No,1,3,12,No
18,Female,Married,Research & Development,Laboratory Technician,Technical Degree,4,2732,3,2,1,2,1,Non-Travel,4,2,2,3,No,1,4,11,Yes
46,Male,Married,Sales,Sales Representative,Human Resources,2,3800,10,7,0,17,3,Travel_Rarely,4,3,2,4,No,1,3,14,No
31,Male,Married,Research & Development,Laboratory Technician,Life Sciences,3,2488,10,5,1,5,4,Travel_Rarely,1,3,3,3,Yes,0,4,14,No
